,Organization,EIN,Tax Year,Contributions and Grants,Program service revenue,Investment Income,Total Revenue,"Compensation of current officers, directors, etc",Payroll Tax,Professional fundraising fees,Total Functional Expenses,Total Assets,Total Liabilities
414,Mon Valley Initiative,251591350,2019,2065724.0,369593.0,49236.0,3065746,183774.0,99836.0,0.0,3055465,13069679,4564836
415,Sarah Heinz House Association,250965390,2021,1769522.0,272885.0,36546.0,2013433,268325.0,99069.0,0.0,2880680,14709378,62926
416,Sarah Heinz House Association,250965390,2020,3817570.0,132438.0,31453.0,3999410,237912.0,85228.0,0.0,2545614,15750954,235954
417,Sarah Heinz House Association,250965390,2019,3581180.0,426130.0,69116.0,4122928,213706.0,85324.0,0.0,2673226,14532609,508055
418,Jeremiah's Place Pittsburgh Relief Nursery,451866754,2021,1313171.0,0.0,89.0,1313260,59516.0,51872.0,0.0,821327,1098951,12998
419,Jeremiah's Place Pittsburgh Relief Nursery,451866754,2020,799466.0,0.0,80.0,799546,114661.0,52837.0,0.0,825338,635540,41520
420,Jeremiah's Place Pittsburgh Relief Nursery,451866754,2019,648227.0,0.0,94.0,652269,104876.0,46679.0,0.0,810566,628708,8896
421,Center For Community Resources Inc.,20585594,2021,11222000.0,7309532.0,0.0,18844697,447697.0,598278.0,0.0,16337445,7136573,1192630
422,Center For Community Resources Inc.,20585594,2020,7374757.0,5794033.0,0.0,13472911,326089.0,510551.0,0.0,13194998,6076686,2639995
423,Center For Community Resources Inc.,20585594,2019,5802120.0,4634042.0,0.0,10673718,288760.0,401299.0,0.0,10548934,3877565,718787
424,Service Access & Management Inc.,232897133,2021,0.0,88187788.0,493388.0,89154160,912680.0,3142531.0,0.0,88416194,35713414,25156264
425,Service Access & Management Inc.,232897133,2020,0.0,82658410.0,38507.0,83002674,884763.0,2935598.0,0.0,80579262,30233906,20414722
426,Service Access & Management Inc.,232897133,2019,0.0,80923775.0,58334.0,81399006,769946.0,2738858.0,0.0,80314150,27634151,20238379
427,Beverly's Birthdays,454248006,2021,2170080.0,0.0,0.0,2160798,90088.0,40231.0,0.0,1620577,988379,0
428,Beverly's Birthdays,454248006,2020,1742517.0,0.0,0.0,1729886,84488.0,29738.0,0.0,1736315,514058,65900
429,Beverly's Birthdays,454248006,2019,1325838.0,0.0,0.0,1360136,66970.0,24874.0,0.0,1148834,454587,0
430,L2 Community Support,812264492,2021,504419.0,0.0,0.0,504419,0.0,0.0,0.0,463114,79837,19007
431,L2 Community Support,812264492,2020,338588.0,0.0,0.0,339018,0.0,0.0,0.0,495562,49108,29583
432,L2 Community Support,812264492,2019,512029.0,0.0,0.0,520488,0.0,0.0,0.0,635088,194250,18181
433,Not Forgotten Home & Community Services,473548237,2021,85926.0,5391347.0,398.0,5477671,890229.0,390881.0,0.0,6173345,1152163,783726
434,Not Forgotten Home & Community Services,473548237,2020,589151.0,4881340.0,1888.0,5472379,741531.0,338968.0,0.0,5071026,1859689,795578
435,Not Forgotten Home & Community Services,473548237,2019,146745.0,4241992.0,53.0,4388740,641085.0,358765.0,0.0,4075561,664113,1350
436,Homewood Children's Village,271885583,2021,2534412.0,738762.0,312.0,3280398,383368.0,137401.0,0.0,2627241,2684180,250133
437,Homewood Children's Village,271885583,2020,2007582.0,386259.0,3031.0,2399071,402888.0,116289.0,0.0,2127888,1878277,331587
438,Homewood Children's Village,271885583,2019,1909903.0,284020.0,1256.0,2204470,274018.0,129093.0,0.0,2180157,1364118,88611
439,Alliance For Nonprofit Resources,263838512,2021,9575765.0,1726683.0,0.0,13269678,0.0,486177.0,0.0,11799080,3208567,1159594
440,Alliance For Nonprofit Resources,263838512,2020,7885297.0,1145416.0,0.0,10484451,0.0,485360.0,0.0,11148728,3633277,3054902
441,Alliance For Nonprofit Resources,263838512,2019,7795299.0,1064712.0,0.0,9963851,0.0,428518.0,0.0,9879760,2673650,1430998
442,Healthy Start Inc.,251691864,2021,3159835.0,41550.0,195.0,3224058,207269.0,161119.0,0.0,3037001,1242613,184222
443,Healthy Start Inc.,251691864,2020,2280176.0,0.0,8061.0,2294336,158277.0,108762.0,0.0,2126964,1002218,130884
444,Healthy Start Inc.,251691864,2019,2045963.0,7188.0,677.0,2057776,106619.0,98706.0,0.0,1890834,792328,88366
445,Hugh Lane Wellness Foundation The,821940719,2021,1533842.0,25373.0,0.0,1571634,0.0,31062.0,0.0,1031667,1634716,55239
446,Hugh Lane Wellness Foundation The,821940719,2020,481567.0,76439.0,0.0,558006,0.0,15857.0,0.0,452231,1187764,154678
447,Hugh Lane Wellness Foundation The,821940719,2019,761708.0,0.0,0.0,761708,0.0,1651.0,0.0,300942,944330,17019
448,Latino Community Center,820647985,2021,2087928.0,28600.0,0.0,2107133,92248.0,67680.0,0.0,1486326,1517428,128658
449,Latino Community Center,820647985,2020,1237725.0,0.0,0.0,1236316,71500.0,28065.0,0.0,589990,874944,106981
450,Latino Community Center,820647985,2019,296194.0,0.0,0.0,296194,68250.0,21583.0,0.0,423524,134912,13275
451,Family Care For Children And Youth Inc.,232720983,2021,0.0,4312909.0,8968.0,4324059,0.0,115821.0,0.0,4198970,3537218,900618
452,Family Care For Children And Youth Inc.,232720983,2020,0.0,4274198.0,10086.0,4283516,0.0,0.0,0.0,4066975,3422577,959435
453,Family Care For Children And Youth Inc.,232720983,2019,0.0,4179395.0,9027.0,4209465,0.0,0.0,0.0,4074181,3291501,1055449
454,A Childs Place Pa,824982608,2021,2305800.0,447626.0,1485.0,2766133,123153.0,121723.0,0.0,2255579,3251139,379832
455,A Childs Place Pa,824982608,2020,1282475.0,287710.0,9551.0,1599486,94212.0,60932.0,0.0,1347294,2960236,599483
456,Community Data Roundtable,460808440,2021,0.0,562698.0,340.0,563038,250000.0,27436.0,0.0,520207,536724,0
457,Community Data Roundtable,460808440,2020,0.0,541442.0,287.0,541729,117800.0,23176.0,0.0,420819,493893,0
458,Community Data Roundtable,460808440,2019,0.0,579630.0,253.0,579883,115000.0,21826.0,0.0,449825,372983,0
459,Amachi Pittsburgh,453717455,2021,1007927.0,0.0,0.0,1051694,123974.0,38320.0,0.0,763019,915757,114075
460,Amachi Pittsburgh,453717455,2020,714982.0,0.0,0.0,715926,123193.0,22409.0,0.0,595726,622985,109978
461,Amachi Pittsburgh,453717455,2019,716354.0,0.0,0.0,716354,120710.0,28067.0,0.0,710251,423791,30984
462,Western Pennsylvania Diaper Bank,352461923,2021,239325.0,0.0,1.0,250018,52800.0,12294.0,0.0,329423,222314,4595
463,Western Pennsylvania Diaper Bank,352461923,2020,500169.0,0.0,1.0,500172,36000.0,6193.0,0.0,289115,297505,381
464,Western Pennsylvania Diaper Bank,352461923,2019,,,,0,,,,0,92890,6823
465,Poise Foundation,251393426,2021,10075289.0,101153.0,379802.0,10674894,263437.0,163394.0,0.0,5615153,17239498,1737939
466,Poise Foundation,251393426,2020,6847735.0,113819.0,215683.0,7196615,223000.0,142468.0,0.0,3739682,11577521,1505514
467,Poise Foundation,251393426,2019,2113527.0,202780.0,268397.0,2972201,227180.0,47328.0,0.0,2619758,7706037,1508148
468,Foster Love Project,812263514,2021,989550.0,6401.0,0.0,996433,57229.0,12886.0,0.0,594996,701374,24573
469,Foster Love Project,812263514,2020,549415.0,5738.0,0.0,555894,38987.0,9291.0,0.0,384646,294645,19281
470,Foster Love Project,812263514,2019,345071.0,0.0,0.0,345931,53155.0,6126.0,0.0,345444,105423,1307
471,Casa San Jose,464729004,2021,2026900.0,0.0,2681.0,2019188,106943.0,47795.0,12473.0,1525845,1978351,137387
472,Casa San Jose,464729004,2020,1709141.0,0.0,1097.0,1705873,35116.0,30453.0,8530.0,1048897,1826977,557191
473,Casa San Jose,464729004,2019,646340.0,2050.0,2491.0,649056,205704.0,0.0,0.0,443387,525083,30278
474,Planned Parenthood Of Western Pennsylvania,250965474,2021,3256153.0,2620514.0,44528.0,6033094,143352.0,213936.0,0.0,5961132,11040315,1085815
475,Planned Parenthood Of Western Pennsylvania,250965474,2020,3118246.0,3146044.0,66789.0,6348244,142099.0,214611.0,0.0,6172015,10036154,1058088
476,Planned Parenthood Of Western Pennsylvania,250965474,2019,2719957.0,3056562.0,61157.0,5808359,136197.0,188646.0,0.0,5517008,9171325,383274
477,Manchester Academic Charter School,232952364,2021,863740.0,7765347.0,1414.0,8630501,241214.0,283506.0,9150.0,8525391,8539454,1672463
478,Manchester Academic Charter School,232952364,2020,1652388.0,7656489.0,10692.0,9319569,235714.0,278731.0,15338.0,8313832,8117510,1355629
479,Manchester Academic Charter School,232952364,2019,2587916.0,6904777.0,19430.0,9512123,255848.0,254030.0,62280.0,7654163,7057505,1301361
480,Neighborhood Resilience Project,832086038,2021,1727720.0,0.0,291.0,1753011,70792.0,0.0,0.0,1096056,2128216,69481
481,Neighborhood Resilience Project,832086038,2020,1559860.0,0.0,0.0,1571633,62293.0,0.0,0.0,740723,1498749,96969
482,Neighborhood Resilience Project,832086038,2019,584000.0,0.0,0.0,584000,0.0,0.0,0.0,13130,570870,0
483,Slb Radio Productions Inc.,251859072,2021,751275.0,234344.0,130.0,985670,99996.0,35351.0,0.0,650651,1749917,1108562
484,Slb Radio Productions Inc.,251859072,2020,389593.0,172763.0,489.0,562845,97357.0,32119.0,0.0,538076,736328,431030
485,Slb Radio Productions Inc.,251859072,2019,385957.0,266326.0,695.0,662828,97544.0,36004.0,0.0,598004,552114,271585
486,Locally Grown,842148701,2021,598387.0,181884.0,0.0,806803,78210.0,0.0,0.0,830775,1291535,1251496
487,Locally Grown,842148701,2020,570335.0,32855.0,0.0,603190,0.0,13297.0,0.0,194960,934035,525000
488,Neighborhood Allies,251578436,2021,4323786.0,469890.0,184239.0,5002957,184061.0,118119.0,0.0,5045716,18216384,261913
489,Neighborhood Allies,251578436,2020,10489696.0,215406.0,188412.0,10893514,183680.0,88875.0,0.0,4229300,17244366,205801
490,Neighborhood Allies,251578436,2019,8879224.0,285670.0,76784.0,9241678,175171.0,58615.0,0.0,3247153,10199080,471459
491,Operation Better Block Inc.,237157433,2021,1611286.0,6664.0,142.0,1632920,93750.0,50691.0,0.0,1455234,2637731,601861
492,Operation Better Block Inc.,237157433,2020,1783443.0,15410.0,230.0,1864944,93750.0,40709.0,0.0,1306013,2229990,371806
493,Operation Better Block Inc.,237157433,2019,1379133.0,0.0,375.0,1445694,0.0,36968.0,0.0,1044010,1401780,144474
494,Community Kitchen Pittsburgh,901009621,2021,577809.0,2403449.0,87932.0,3535671,85000.0,56905.0,0.0,2792555,3711326,179416
495,Community Kitchen Pittsburgh,901009621,2020,1455401.0,1209065.0,45135.0,2751793,85000.0,53436.0,0.0,1890521,3137679,348885
496,Community Kitchen Pittsburgh,901009621,2019,1343113.0,1378031.0,56292.0,2805938,78427.0,62673.0,0.0,2282505,2086089,158567
497,Healthy Village Learning Institute,474959758,2019,,,,0,,,,0,186867,0
498,Alliance For Refugee Youth Support And Education,461802136,2021,409352.0,0.0,5.0,409778,26682.0,15006.0,0.0,368102,248604,6485
499,Alliance For Refugee Youth Support And Education,461802136,2020,418632.0,0.0,329.0,420399,38719.0,17994.0,0.0,277360,208440,7997
500,Alliance For Refugee Youth Support And Education,461802136,2019,,,,0,,,,0,79475,22071
501,Ach Clear Pathways,300609317,2021,1993937.0,12764.0,0.0,2064634,83077.0,35272.0,0.0,1092168,5859820,1930951
502,Ach Clear Pathways,300609317,2020,1081465.0,3901.0,0.0,1129092,78144.0,23894.0,0.0,765901,4127643,1171240
503,Ach Clear Pathways,300609317,2019,2584887.0,18818.0,0.0,2607679,61882.0,20887.0,0.0,434693,2414427,1215
504,Literacy Pittsburgh,251392652,2021,4479149.0,452340.0,65224.0,5005452,357850.0,196148.0,0.0,4320842,5702076,407842
505,Literacy Pittsburgh,251392652,2020,4491546.0,379806.0,83233.0,4944151,234856.0,156403.0,0.0,4358606,4776733,874501
506,Literacy Pittsburgh,251392652,2019,3637876.0,276256.0,135190.0,4058178,263695.0,178103.0,0.0,4086003,3603980,164149
507,The Pittsburgh Contingency,455398705,2021,853072.0,71996.0,0.0,925068,30000.0,19137.0,0.0,688567,598494,16743
508,The Pittsburgh Contingency,455398705,2020,688708.0,54439.0,0.0,743147,30000.0,14573.0,0.0,591824,360305,15055
509,The Pittsburgh Contingency,455398705,2019,601900.0,51602.0,0.0,653502,30000.0,15718.0,0.0,616389,216649,22722
510,Unity Recovery,833604971,2021,1809276.0,0.0,0.0,2821333,86350.0,88633.0,0.0,1682277,1478163,5037
511,Unity Recovery,833604971,2020,668943.0,0.0,0.0,668943,58333.0,27185.0,0.0,545460,204490,17348
512,Urban Academy Of Greater Pittsburgh Charter School,251814573,2021,503379.0,6309028.0,226000.0,7256694,483989.0,255283.0,0.0,6164580,4932864,790295
513,Urban Academy Of Greater Pittsburgh Charter School,251814573,2020,413385.0,6144393.0,45755.0,6641822,462783.0,249733.0,0.0,5982438,3725389,674934
514,Urban Academy Of Greater Pittsburgh Charter School,251814573,2019,423920.0,6057973.0,31538.0,6563003,128556.0,305981.0,0.0,5970679,3093973,702900
515,Pinkney's Vineyard Of Faith Ministries,10798928,2019,597015.0,0.0,0.0,597015,128708.0,26987.0,0.0,596518,75631,40504
516,Bhutanese Community Association Of Pittsburgh,300742370,2021,390794.0,6619.0,0.0,397413,60669.0,29710.0,0.0,230463,511780,1386
517,Bhutanese Community Association Of Pittsburgh,300742370,2020,411621.0,16869.0,12.0,428502,56468.0,29875.0,0.0,221938,357790,14346
518,Bhutanese Community Association Of Pittsburgh,300742370,2019,204710.0,18933.0,0.0,223643,53900.0,23439.0,0.0,189734,144957,8077
519,Community Foundation Of Greater Johnstown,251637373,2021,11321125.0,192064.0,1237767.0,16233358,218125.0,44751.0,0.0,12963244,97627498,14063792
520,Community Foundation Of Greater Johnstown,251637373,2020,12383674.0,132503.0,956370.0,15083795,211234.0,41160.0,0.0,10090388,78933387,10962884
521,Community Foundation Of Greater Johnstown,251637373,2019,8036242.0,183906.0,465230.0,11977837,199263.0,38439.0,0.0,6919640,74104567,11096347
522,Blair Senior Services Inc.,251259406,2021,852358.0,9033316.0,2697.0,9908789,174521.0,249268.0,0.0,9083956,8702811,2239735
523,Blair Senior Services Inc.,251259406,2020,547611.0,9471826.0,31762.0,10330101,165687.0,267800.0,0.0,9852592,7308939,1395047
524,Blair Senior Services Inc.,251259406,2019,400388.0,9534360.0,31757.0,10001007,3971189.0,285403.0,0.0,9840449,7307187,1870804
525,Bridge To The Mountains Inc.,821631936,2021,395451.0,236585.0,132.0,632168,110000.0,24028.0,0.0,570805,229379,0
526,Bridge To The Mountains Inc.,821631936,2020,407342.0,199981.0,0.0,607323,111423.0,46325.0,0.0,471525,168016,0
527,Bridge To The Mountains Inc.,821631936,2019,,,,0,,,,0,32218,0
528,Drug And Alcohol Rehabilitation Services Inc.,231289242,2021,1250150.0,2164299.0,6016.0,3342913,105919.0,135787.0,0.0,2748874,4687395,1811550
529,Drug And Alcohol Rehabilitation Services Inc.,231289242,2020,88091.0,2514561.0,5581.0,2548912,109304.0,155987.0,0.0,3064694,4155683,1968653
530,Drug And Alcohol Rehabilitation Services Inc.,231289242,2019,25677.0,2721732.0,11984.0,2711024,111426.0,155068.0,0.0,3105226,4269004,1516085
531,Assemble Inc,451582644,2021,698077.0,92511.0,90.0,795957,47635.0,29710.0,0.0,583113,569796,0
532,Assemble Inc,451582644,2020,424168.0,78006.0,241.0,502565,41086.0,23263.0,0.0,449001,356952,0
533,Assemble Inc,451582644,2019,468354.0,93767.0,196.0,564491,42096.0,26234.0,0.0,371076,303388,0
534,Pittsburgh Hispanic Development Corporation,461628676,2021,425437.0,35665.0,3.0,461105,0.0,8373.0,0.0,399847,550983,0
535,Pittsburgh Hispanic Development Corporation,461628676,2020,648553.0,12927.0,3.0,676246,0.0,7900.0,0.0,480126,539362,49637
536,Pittsburgh Hispanic Development Corporation,461628676,2019,578415.0,8120.0,4.0,586539,0.0,5892.0,0.0,581568,348157,54552
537,Northern Children's Services,231396803,2021,4033045.0,3135757.0,0.0,7729982,185553.0,253624.0,0.0,7235003,13817122,5907051
538,Northern Children's Services,231396803,2020,2824426.0,4099254.0,0.0,6950508,126988.0,311889.0,0.0,7189074,21097150,14424130
539,Northern Children's Services,231396803,2019,3973929.0,4369537.0,0.0,8345954,145000.0,231408.0,0.0,9637292,20823434,13911848
540,Young Scholars Of Western Pennsylvania Charter School,273243254,2021,516094.0,7032348.0,20524.0,8456741,263251.0,219461.0,0.0,5947520,5198979,3762156
541,Young Scholars Of Western Pennsylvania Charter School,273243254,2020,374982.0,6462139.0,22354.0,7185627,286958.0,220668.0,0.0,6211133,3730609,4803007
542,Young Scholars Of Western Pennsylvania Charter School,273243254,2019,379329.0,5965435.0,25872.0,6372806,270274.0,222349.0,0.0,6274839,3602248,5649140
543,City Mission Living Stones Inc.,251605762,2021,2371627.0,104970.0,3885.0,2480482,0.0,0.0,0.0,2314856,5504686,1553776
544,City Mission Living Stones Inc.,251605762,2020,1528960.0,256459.0,42.0,1781298,0.0,0.0,0.0,1926787,5643424,1858140
545,City Mission Living Stones Inc.,251605762,2019,2080869.0,82358.0,3724.0,2154932,0.0,0.0,0.0,1701459,4536153,605380
546,Foundation For Cognitive Therapy And Research,232051226,2021,488666.0,5877232.0,223074.0,6963701,614708.0,274883.0,0.0,6992272,13423917,736097
547,Foundation For Cognitive Therapy And Research,232051226,2020,792992.0,5397367.0,338460.0,6713723,594648.0,213172.0,0.0,6145317,12930949,1150394
548,Foundation For Cognitive Therapy And Research,232051226,2019,395311.0,4018893.0,383244.0,5407621,602949.0,160823.0,0.0,5223410,11829306,1063110
549,The Forbes Funds,251418095,2021,2708698.0,278249.0,161488.0,3486741,254869.0,54710.0,0.0,2450807,11532180,443447
550,The Forbes Funds,251418095,2020,1848570.0,58146.0,166688.0,2202842,235963.0,46046.0,0.0,2338217,9800019,623633
551,The Forbes Funds,251418095,2019,1502830.0,325451.0,168653.0,2139922,216867.0,44863.0,0.0,2225199,9406238,623829
